0,17,3,0,0
1,14,4,2,0
2,16,2,1,1
3,13,4,1,2
4,19,1,0,0
5,13,1,2,4
6,15,2,1,2
7,19,1,0,0
8,13,3,3,1
9,13,3,3,1
10,17,3,0,0
11,19,0,1,0
12,13,3,1,3
13,15,1,4,0
14,13,4,2,1
15,16,4,0,0
16,17,3,0,0
17,15,2,0,3
18,18,1,1,0
19,18,1,1,0
20,15,1,3,1
21,19,1,0,0
22,13,3,0,4
23,16,1,0,3
24,14,3,2,1
25,12,1,3,4
26,9,3,2,6
27,7,4,3,6
28,11,3,4,2
29,11,3,3,3
30,13,2,2,3
31,7,6,2,5
32,13,3,4,0
33,11,4,3,2
34,11,4,3,2
35,12,3,3,2
36,8,3,4,5
37,7,4,4,5
38,7,4,4,5
39,8,2,6,4
40,10,3,2,5
41,4,2,6,8
42,6,5,2,7
43,2,6,5,7
44,12,1,3,4
45,8,4,3,5
46,6,4,2,8
47,1,2,6,11
48,5,2,4,9
49,6,6,6,2
50,3,5,6,6
51,2,5,2,11
52,3,3,1,13
53,8,2,0,10
54,1,3,3,13
55,6,1,2,11
56,3,4,6,7
57,11,3,3,3
58,6,4,6,4
59,6,1,3,10
60,4,1,7,8
61,4,5,5,6
62,6,3,4,7
63,6,7,5,2
64,2,7,5,6
65,2,3,4,11
66,0,2,7,11
67,5,4,6,5
68,2,3,8,7
69,3,4,3,10
70,1,6,5,8
71,3,3,4,10
72,5,6,2,7
73,0,7,3,10
74,0,3,11,6
75,4,5,4,7
76,6,6,2,6
77,2,5,4,9
78,2,4,6,8
79,2,4,4,10
80,5,1,3,11
81,2,4,5,9
82,0,6,5,9
83,5,2,3,10
84,2,4,4,10
85,1,9,5,5
86,3,3,5,9
87,2,6,6,6
88,7,4,5,4
89,7,8,1,4
90,2,3,3,12
91,8,2,2,8
92,3,8,3,6
93,8,1,4,7
94,4,4,5,7
95,1,5,3,11
96,6,2,2,10
97,5,2,5,8
98,5,6,6,3
99,0,6,7,7
100,4,5,6,5
101,1,3,7,9
102,2,4,6,8
103,0,2,5,13
104,3,4,4,9
105,0,6,6,8
106,3,5,2,10
107,7,2,3,8
108,7,3,5,5
109,1,0,6,13
110,2,7,6,5
111,5,0,6,9
112,2,5,6,7
113,4,3,5,8
114,1,7,5,7
115,6,3,6,5
116,6,4,5,5
117,5,5,4,6
118,13,0,4,3
119,4,5,4,7
120,2,4,5,9
121,4,6,4,6
122,3,5,3,9
123,1,6,3,10
124,1,4,9,6
125,1,3,4,12
126,5,1,2,12
127,4,4,5,7
128,12,3,2,3
129,15,2,1,2
130,15,2,0,3
131,12,4,1,3
132,16,3,0,1
133,11,2,2,5
134,16,0,1,3
135,16,2,0,2
136,11,0,0,9
137,15,1,0,4
138,13,3,0,4
139,15,3,0,2
140,15,2,0,3
141,17,2,0,1
142,15,3,0,2
143,8,4,0,8
144,14,1,0,5
145,14,3,0,3
146,13,2,2,3
147,13,1,3,3
148,15,4,0,1
149,17,0,0,3
150,17,1,1,1
151,14,1,1,4
152,15,1,0,4
153,19,0,0,1
154,13,4,1,2
155,18,0,0,2
156,18,1,0,1
157,14,2,0,4
158,17,0,0,3
159,16,2,0,2
160,16,1,0,3
161,16,1,1,2
162,15,2,1,2
163,16,0,0,4
164,13,5,0,2
165,9,3,1,7
166,19,0,0,1
167,16,2,1,1
168,18,1,1,0
169,16,1,1,2
170,13,1,1,5
171,14,1,0,5
172,18,0,0,2
173,9,4,1,6
174,13,3,1,3
175,13,2,1,4
176,20,0,0,0
177,17,2,0,1
178,16,1,0,3
179,11,4,0,5
180,18,1,0,1
181,18,0,0,2
182,14,3,0,3
183,18,0,0,2
184,14,0,0,6
185,15,2,0,3
186,18,1,0,1
187,17,0,1,2
188,17,0,0,3
189,14,1,1,4
190,15,1,1,3
191,17,1,0,2
192,17,0,0,3
193,14,3,0,3
194,16,2,0,2
195,18,0,0,2
196,14,2,1,3
197,17,2,0,1
198,18,2,0,0
199,15,3,0,2
200,13,4,0,3
201,13,4,1,2
202,17,1,0,2
203,14,1,0,5
204,17,1,0,2
205,13,3,1,3
206,15,2,2,1
207,14,3,0,3
208,15,2,1,2
209,14,2,0,4
210,16,3,0,1
211,14,1,0,5
212,15,2,0,3
213,15,1,0,4
214,15,1,4,0
215,13,0,2,5
216,15,2,0,3
217,14,1,1,4
218,19,0,0,1
219,15,0,1,4
220,18,0,1,1
221,16,1,1,2
222,19,0,1,0
223,18,0,0,2
224,15,2,1,2
225,13,3,0,4
226,13,2,1,4
227,16,2,2,0
228,17,2,0,1
229,15,2,0,3
230,16,1,2,1
231,18,1,0,1
232,19,1,0,0
233,16,2,0,2
234,18,0,1,1
235,13,4,0,3
236,17,0,1,2
237,14,2,0,4
238,18,1,1,0
239,17,2,0,1
240,18,1,0,1
241,15,1,0,4
242,12,1,1,6
243,18,0,0,2
244,19,0,0,1
245,17,1,0,2
246,17,1,0,2
247,16,3,0,1
248,16,1,0,3
249,13,1,3,3
