0,5,2,6,7
1,6,7,4,3
2,2,4,7,7
3,3,8,3,6
4,6,5,9,0
5,3,6,5,6
6,9,2,7,2
7,7,5,4,4
8,6,7,3,4
9,11,5,2,2
10,5,5,2,8
11,6,7,5,2
12,5,8,3,4
13,9,3,6,2
14,1,5,6,8
15,6,6,3,5
16,7,7,5,1
17,4,5,6,5
18,5,1,6,8
19,13,2,3,2
20,2,7,7,4
21,5,10,2,3
22,5,4,6,5
23,12,3,3,2
24,8,4,6,2
25,7,5,5,3
26,3,8,5,4
27,9,7,3,1
28,6,5,4,5
29,2,10,7,1
30,4,7,4,5
31,3,5,3,9
32,4,6,8,2
33,6,6,6,2
34,3,5,7,5
35,5,6,4,5
36,7,5,6,2
37,4,5,9,2
38,7,4,6,3
39,7,4,4,5
40,6,5,3,6
41,6,7,4,3
42,3,8,4,5
43,7,9,2,2
44,2,4,5,9
45,7,4,2,7
46,9,2,3,6
47,6,4,4,6
48,7,8,2,3
49,5,7,4,4
50,2,6,10,2
51,7,6,7,0
52,11,2,1,6
53,4,6,4,6
54,7,3,5,5
55,6,6,4,4
56,7,7,2,4
57,7,6,4,3
58,6,4,5,5
59,7,7,3,3
60,6,4,8,2
61,1,11,4,4
62,7,6,6,1
63,4,7,4,5
64,3,4,7,6
65,4,7,4,5
66,5,6,3,6
67,5,4,7,4
68,12,3,3,2
69,4,9,7,0
70,6,2,5,7
71,6,4,5,5
72,3,5,7,5
73,5,8,7,0
74,2,3,6,9
75,3,5,5,7
76,7,6,4,3
77,9,7,3,1
78,0,8,3,9
79,11,5,3,1
80,9,4,5,2
81,3,8,7,2
82,9,4,4,3
83,6,5,5,4
84,1,6,8,5
85,9,4,4,3
86,7,5,7,1
87,4,5,6,5
88,1,7,9,3
89,4,6,9,1
90,2,6,6,6
91,8,2,4,6
92,4,4,6,6
93,1,7,9,3
94,8,5,4,3
95,7,4,4,5
96,6,6,2,6
97,5,6,4,5
98,3,9,7,1
99,8,2,5,5
100,7,3,6,4
101,9,4,5,2
102,7,4,5,4
103,6,4,6,4
104,4,5,8,3
105,9,5,4,2
106,6,3,5,6
107,6,8,4,2
108,3,7,5,5
109,1,3,4,12
110,3,8,6,3
111,7,4,2,7
112,5,6,4,5
113,7,3,6,4
114,7,4,4,5
115,5,7,4,4
116,5,7,5,3
117,5,6,4,5
118,9,4,6,1
119,8,4,5,3
120,5,5,5,5
121,9,2,5,4
122,8,5,3,4
123,10,3,2,5
124,5,7,2,6
125,8,6,3,3
126,2,7,6,5
127,4,3,11,2
128,4,6,3,7
129,9,5,4,2
130,9,4,5,2
131,3,4,7,6
132,3,5,6,6
133,7,7,2,4
134,7,7,4,2
135,9,5,5,1
136,14,4,2,0
137,4,6,4,6
138,3,2,9,6
139,6,5,4,5
140,6,5,4,5
141,7,4,5,4
142,4,6,6,4
143,4,6,6,4
144,5,2,8,5
145,4,5,6,5
146,4,4,7,5
147,10,5,5,0
148,9,4,4,3
149,9,5,4,2
150,7,6,2,5
151,6,7,5,2
152,7,4,5,4
153,6,4,7,3
154,8,3,7,2
155,9,4,5,2
156,4,8,4,4
157,8,3,5,4
158,10,7,3,0
159,4,4,6,6
160,10,4,4,2
161,7,3,4,6
162,6,6,7,1
163,8,3,2,7
164,8,6,2,4
165,7,5,5,3
166,8,5,0,7
167,12,4,2,2
168,5,4,2,9
169,14,3,3,0
170,7,8,2,3
171,8,3,5,4
172,1,6,6,7
173,8,4,6,2
174,6,5,6,3
175,10,8,1,1
176,4,4,6,6
177,8,8,1,3
178,1,5,10,4
179,9,4,3,4
180,4,4,7,5
181,7,6,2,5
182,7,4,7,2
183,5,5,8,2
184,6,4,5,5
185,5,8,2,5
186,6,8,4,2
187,6,6,7,1
188,3,5,5,7
189,2,5,3,10
190,10,4,3,3
191,8,8,2,2
192,5,2,5,8
193,3,7,4,6
194,7,5,6,2
195,7,4,8,1
196,6,6,3,5
197,8,8,4,0
198,2,4,6,8
199,8,1,7,4
200,2,11,4,3
201,12,2,4,2
202,8,5,5,2
203,6,8,4,2
204,5,3,7,5
205,9,2,4,5
206,8,5,4,3
207,6,4,4,6
208,9,3,5,3
209,2,7,5,6
210,4,4,7,5
211,3,9,5,3
212,5,7,5,3
213,5,5,7,3
214,3,7,3,7
215,4,8,3,5
216,4,8,3,5
217,10,4,4,2
218,11,2,4,3
219,9,5,4,2
220,5,7,4,4
221,3,3,6,8
222,2,4,7,7
223,3,5,8,4
224,7,7,4,2
225,6,5,3,6
226,6,4,5,5
227,4,4,5,7
228,10,4,5,1
229,10,5,5,0
230,9,3,2,6
231,8,4,4,4
232,9,4,4,3
233,5,6,4,5
234,9,7,0,4
235,6,5,3,6
236,6,3,6,5
237,8,5,6,1
238,9,5,1,5
239,5,4,6,5
240,3,5,8,4
241,12,5,2,1
242,4,5,7,4
243,9,5,2,4
244,6,4,1,9
245,5,7,2,6
246,8,7,2,3
247,10,5,3,2
248,9,2,3,6
249,6,5,5,4
