0,10,8,2,0
1,10,2,6,2
2,3,4,8,5
3,8,8,3,1
4,9,6,4,1
5,10,5,4,1
6,9,4,3,4
7,10,7,3,0
8,9,8,3,0
9,8,4,2,6
10,8,8,3,1
11,13,4,3,0
12,4,5,6,5
13,7,5,6,2
14,7,6,3,4
15,11,6,3,0
16,6,10,3,1
17,11,6,1,2
18,9,5,5,1
19,10,7,2,1
20,12,3,4,1
21,6,3,7,4
22,5,9,4,2
23,4,6,6,4
24,9,7,3,1
25,6,7,3,4
26,9,6,2,3
27,12,4,4,0
28,7,3,7,3
29,10,4,2,4
30,8,4,2,6
31,7,7,3,3
32,8,7,1,4
33,6,6,4,4
34,3,8,4,5
35,8,4,4,4
36,9,4,7,0
37,8,6,3,3
38,10,4,5,1
39,5,10,5,0
40,7,8,3,2
41,9,3,6,2
42,7,5,5,3
43,9,2,4,5
44,7,7,5,1
45,8,6,4,2
46,9,5,5,1
47,4,4,5,7
48,10,6,2,2
49,7,7,5,1
50,5,6,8,1
51,7,6,3,4
52,7,6,5,2
53,9,9,2,0
54,6,7,4,3
55,3,9,4,4
56,10,5,4,1
57,7,6,3,4
58,4,4,7,5
59,9,7,3,1
60,9,5,3,3
61,6,5,5,4
62,5,4,5,6
63,6,2,6,6
64,9,4,4,3
65,10,4,3,3
66,7,3,9,1
67,5,6,2,7
68,4,2,9,5
69,9,4,2,5
70,1,5,7,7
71,10,5,5,0
72,5,5,4,6
73,5,3,3,9
74,5,9,3,3
75,5,5,1,9
76,6,2,5,7
77,4,6,4,6
78,5,8,3,4
79,5,7,6,2
80,6,4,7,3
81,5,6,3,6
82,7,4,5,4
83,3,3,9,5
84,3,7,4,6
85,3,5,8,4
86,5,6,5,4
87,9,4,4,3
88,10,1,4,5
89,5,7,4,4
90,2,5,4,9
91,9,3,3,5
92,3,3,3,11
93,3,2,7,8
94,6,4,5,5
95,6,2,7,5
96,4,7,5,4
97,1,6,6,7
98,1,3,7,9
99,3,8,3,6
100,2,6,4,8
101,5,5,9,1
102,4,4,5,7
103,5,4,6,5
104,8,4,1,7
105,6,6,4,4
106,2,8,7,3
107,5,3,8,4
108,8,5,2,5
109,5,6,6,3
110,2,5,10,3
111,0,6,11,3
112,3,5,6,6
113,4,6,3,7
114,5,3,7,5
115,2,6,8,4
116,1,8,4,7
117,8,4,4,4
118,5,5,8,2
119,8,5,2,5
120,1,5,7,7
121,6,6,4,4
122,1,3,6,10
123,5,4,5,6
124,4,4,9,3
125,7,6,4,3
126,1,6,5,8
127,2,3,5,10
128,7,5,2,6
129,4,3,7,6
130,7,3,4,6
131,2,4,9,5
132,5,1,8,6
133,4,4,5,7
134,3,6,4,7
135,4,3,8,5
136,3,4,8,5
137,5,5,4,6
138,4,8,4,4
139,1,1,2,16
140,2,5,10,3
141,4,5,7,4
142,3,6,5,6
143,1,6,4,9
144,3,4,13,0
145,4,5,7,4
146,6,7,3,4
147,4,2,5,9
148,8,4,6,2
149,3,6,9,2
150,2,4,4,10
151,2,3,5,10
152,2,5,5,8
153,1,4,8,7
154,4,1,9,6
155,3,5,1,11
156,4,4,7,5
157,1,3,3,13
158,8,6,4,2
159,5,5,4,6
160,5,2,4,9
161,4,4,4,8
162,2,0,9,9
163,2,2,6,10
164,2,6,8,4
165,1,5,5,9
166,5,1,5,9
167,8,2,4,6
168,0,2,4,14
169,3,7,4,6
170,5,2,6,7
171,3,4,6,7
172,3,1,9,7
173,2,7,3,8
174,3,1,10,6
175,2,5,4,9
176,3,2,6,9
177,1,0,4,15
178,1,4,10,5
179,3,1,3,13
180,5,6,5,4
181,3,4,4,9
182,0,5,9,6
183,2,6,5,7
184,7,7,1,5
185,1,3,6,10
186,3,3,7,7
187,2,2,4,12
188,0,3,6,11
189,3,5,3,9
190,2,3,7,8
191,5,5,7,3
192,0,4,4,12
193,4,7,5,4
194,3,3,10,4
195,6,3,6,5
196,3,8,6,3
197,6,2,6,6
198,4,7,5,4
199,3,7,5,5
200,2,7,4,7
201,5,5,4,6
202,4,4,6,6
203,2,7,5,6
204,4,0,10,6
205,5,4,6,5
206,1,8,5,6
207,4,4,8,4
208,0,3,8,9
209,2,6,7,5
210,1,3,6,10
211,3,4,10,3
212,2,1,6,11
213,1,2,6,11
214,1,3,5,11
215,1,6,9,4
216,4,3,3,10
217,1,3,8,8
218,3,3,6,8
219,2,2,8,8
220,2,3,5,10
221,1,5,5,9
222,2,5,7,6
223,4,3,9,4
224,2,6,4,8
225,5,2,8,5
226,6,8,2,4
227,0,4,7,9
228,3,3,7,7
229,2,4,6,8
230,5,4,6,5
231,1,4,8,7
232,6,4,6,4
233,8,4,3,5
234,5,7,3,5
235,5,4,4,7
236,1,5,7,7
237,1,9,4,6
238,3,9,5,3
239,6,6,6,2
240,0,4,5,11
241,0,1,9,10
242,2,3,10,5
243,4,3,3,10
244,1,4,3,12
245,7,4,3,6
246,0,3,10,7
247,4,4,6,6
248,6,5,8,1
249,4,3,10,3
